SmartShield monitor log (generated)
2025-10-17T17:45:25.263430Z | UDP | 10.2.0.2 -> 10.2.0.1 | sport=58687 dport=53
2025-10-17T17:45:25.517440Z | UDP | 10.2.0.2 -> 10.2.0.1 | sport=58687 dport=53
2025-10-17T17:45:25.535159Z | UDP | 10.2.0.1 -> 10.2.0.2 | sport=53 dport=58687
2025-10-17T17:45:25.537935Z | UDP | 10.2.0.2 -> 35.186.224.22 | sport=57147 dport=443
2025-10-17T17:45:25.539964Z | UDP | 10.2.0.2 -> 35.186.224.22 | sport=57147 dport=443
2025-10-17T17:45:25.704274Z | UDP | 10.2.0.1 -> 10.2.0.2 | sport=53 dport=58687
2025-10-17T17:45:25.704274Z | UDP | 35.186.224.22 -> 10.2.0.2 | sport=443 dport=57147
2025-10-17T17:45:25.720066Z | UDP | 35.186.224.22 -> 10.2.0.2 | sport=443 dport=57147
2025-10-17T17:45:25.753833Z | UDP | 35.186.224.22 -> 10.2.0.2 | sport=443 dport=57147
2025-10-17T17:45:25.753833Z | UDP | 10.2.0.2 -> 35.186.224.22 | sport=57147 dport=443
2025-10-17T17:45:25.753833Z | UDP | 10.2.0.2 -> 35.186.224.22 | sport=57147 dport=443
2025-10-17T17:45:25.753833Z | UDP | 10.2.0.2 -> 35.186.224.22 | sport=57147 dport=443
2025-10-17T17:45:25.923872Z | UDP | 35.186.224.22 -> 10.2.0.2 | sport=443 dport=57147
2025-10-17T17:45:25.923872Z | UDP | 35.186.224.22 -> 10.2.0.2 | sport=443 dport=57147
2025-10-17T17:45:25.923872Z | UDP | 10.2.0.2 -> 35.186.224.22 | sport=57147 dport=443
2025-10-17T17:45:25.923872Z | UDP | 35.186.224.22 -> 10.2.0.2 | sport=443 dport=57147
2025-10-17T17:45:25.955696Z | UDP | 10.2.0.2 -> 35.186.224.22 | sport=57147 dport=443
2025-10-17T17:45:25.955696Z | UDP | 35.186.224.22 -> 10.2.0.2 | sport=443 dport=57147
2025-10-17T17:45:26.048160Z | UDP | 35.186.224.22 -> 10.2.0.2 | sport=443 dport=57147
2025-10-17T17:45:26.096178Z | UDP | 10.2.0.2 -> 35.186.224.22 | sport=57147 dport=443
2025-10-17T17:45:26.348848Z | UDP | 35.186.224.22 -> 10.2.0.2 | sport=443 dport=57147
2025-10-17T17:45:27.129850Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=59438
2025-10-17T17:45:27.135182Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=59438 dport=443
2025-10-17T17:45:27.176468Z | UDP | 10.2.0.2 -> 10.2.0.1 | sport=49247 dport=53
2025-10-17T17:45:27.300102Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=59438
2025-10-17T17:45:27.344781Z | UDP | 10.2.0.1 -> 10.2.0.2 | sport=53 dport=49247
2025-10-17T17:45:27.350880Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:27.517987Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:27.519172Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:27.522117Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:27.663477Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=55471 dport=443
2025-10-17T17:45:27.711336Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:27.941681Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=55471
2025-10-17T17:45:27.945251Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=55471 dport=443
2025-10-17T17:45:27.945251Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=55471 dport=443
2025-10-17T17:45:27.947265Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=55471 dport=443
2025-10-17T17:45:27.979030Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:27.981175Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:28.126079Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=55471
2025-10-17T17:45:28.134277Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=55471
2025-10-17T17:45:28.134277Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=55471
2025-10-17T17:45:28.136299Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=55471 dport=443
2025-10-17T17:45:29.306826Z | TCP | 10.2.0.2 -> 35.186.224.40 | sport=51905 dport=443
2025-10-17T17:45:29.487033Z | TCP | 10.2.0.2 -> 142.250.157.188 | sport=61357 dport=5228
2025-10-17T17:45:29.537382Z | TCP | 35.186.224.40 -> 10.2.0.2 | sport=443 dport=51905
2025-10-17T17:45:29.579794Z | TCP | 10.2.0.2 -> 35.186.224.40 | sport=51905 dport=443
2025-10-17T17:45:29.659672Z | TCP | 142.250.157.188 -> 10.2.0.2 | sport=5228 dport=61357
2025-10-17T17:45:30.654682Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=65464
2025-10-17T17:45:30.654682Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=65464 dport=443
2025-10-17T17:45:30.815013Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=65464
2025-10-17T17:45:30.844981Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=54075
2025-10-17T17:45:30.844981Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=54075 dport=443
2025-10-17T17:45:31.144565Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=54075
2025-10-17T17:45:31.787768Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=64243
2025-10-17T17:45:31.787768Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=64243 dport=443
2025-10-17T17:45:32.095190Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:32.095190Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:32.095190Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=64243
2025-10-17T17:45:32.158406Z | TCP | 10.2.0.2 -> 104.18.32.47 | sport=58599 dport=443
2025-10-17T17:45:32.266924Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:32.280034Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:32.317673Z | TCP | 104.18.32.47 -> 10.2.0.2 | sport=443 dport=58599
2025-10-17T17:45:32.583612Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:32.584610Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:32.585602Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:32.586598Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:32.588621Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:32.589646Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:32.589646Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:32.589646Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:32.730483Z | TCP | 10.2.0.2 -> 35.186.224.24 | sport=53228 dport=443
2025-10-17T17:45:32.730483Z | TCP | 10.2.0.2 -> 35.186.224.24 | sport=53228 dport=443
2025-10-17T17:45:32.730483Z | TCP | 10.2.0.2 -> 35.186.224.24 | sport=53228 dport=443
2025-10-17T17:45:32.754908Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:32.756803Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:32.756803Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:32.756803Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:32.761415Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:32.762508Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:32.762508Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:32.893525Z | TCP | 35.186.224.24 -> 10.2.0.2 | sport=443 dport=53228
2025-10-17T17:45:32.893525Z | TCP | 35.186.224.24 -> 10.2.0.2 | sport=443 dport=53228
2025-10-17T17:45:32.901119Z | TCP | 35.186.224.24 -> 10.2.0.2 | sport=443 dport=53228
2025-10-17T17:45:32.901119Z | TCP | 35.186.224.24 -> 10.2.0.2 | sport=443 dport=53228
2025-10-17T17:45:32.917155Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:32.955282Z | TCP | 10.2.0.2 -> 35.186.224.24 | sport=53228 dport=443
2025-10-17T17:45:33.018753Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=53227
2025-10-17T17:45:33.020752Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=53227 dport=443
2025-10-17T17:45:33.065447Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:33.081137Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:33.087194Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:33.089207Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:33.089207Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:33.117804Z | TCP | 35.186.224.24 -> 10.2.0.2 | sport=443 dport=53228
2025-10-17T17:45:33.121809Z | TCP | 10.2.0.2 -> 35.186.224.24 | sport=53228 dport=443
2025-10-17T17:45:33.204889Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=53227
2025-10-17T17:45:33.267607Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:33.281076Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:33.281076Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:33.283092Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:33.315008Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:33.320974Z | TCP | 35.186.224.24 -> 10.2.0.2 | sport=443 dport=53228
2025-10-17T17:45:33.440608Z | TCP | 10.2.0.2 -> 185.159.159.1 | sport=59440 dport=80
2025-10-17T17:45:33.488645Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:33.488645Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:33.534491Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:33.642607Z | TCP | 185.159.159.1 -> 10.2.0.2 | sport=80 dport=59440
2025-10-17T17:45:33.689814Z | TCP | 10.2.0.2 -> 185.159.159.1 | sport=59440 dport=80
2025-10-17T17:45:33.689814Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:33.729383Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:33.729383Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:33.729383Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:33.729383Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:33.923540Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:33.923540Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:33.923540Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:33.925552Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:34.096604Z | TCP | 10.2.0.2 -> 52.182.143.211 | sport=53232 dport=443
2025-10-17T17:45:34.224036Z | TCP | 13.89.179.11 -> 10.2.0.2 | sport=443 dport=61012
2025-10-17T17:45:34.252015Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=55471
2025-10-17T17:45:34.252015Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=55471 dport=443
2025-10-17T17:45:34.284774Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:34.315145Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:34.321368Z | TCP | 52.182.143.211 -> 10.2.0.2 | sport=443 dport=53232
2025-10-17T17:45:34.434213Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=55471
2025-10-17T17:45:34.441733Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=55471 dport=443
2025-10-17T17:45:34.442773Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=55471
2025-10-17T17:45:34.443763Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=55471 dport=443
2025-10-17T17:45:34.444774Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=55471 dport=443
2025-10-17T17:45:34.444774Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=55471 dport=443
2025-10-17T17:45:34.445750Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=55471 dport=443
2025-10-17T17:45:34.445750Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=55471 dport=443
2025-10-17T17:45:34.446755Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=55471 dport=443
2025-10-17T17:45:34.446755Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=55471 dport=443
2025-10-17T17:45:34.487469Z | TCP | 52.182.143.211 -> 10.2.0.2 | sport=443 dport=53232
2025-10-17T17:45:34.487469Z | TCP | 10.2.0.2 -> 52.182.143.211 | sport=53232 dport=443
2025-10-17T17:45:34.535135Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:34.556391Z | UDP | 10.2.0.2 -> 10.2.0.1 | sport=49247 dport=53
2025-10-17T17:45:34.623276Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=55471
2025-10-17T17:45:34.628542Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=55471
2025-10-17T17:45:34.628542Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=55471
2025-10-17T17:45:34.628542Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=55471
2025-10-17T17:45:34.646440Z | TCP | 20.42.73.28 -> 10.2.0.2 | sport=443 dport=55665
2025-10-17T17:45:34.646440Z | TCP | 10.2.0.2 -> 20.42.73.28 | sport=55665 dport=443
2025-10-17T17:45:34.721975Z | UDP | 10.2.0.1 -> 10.2.0.2 | sport=53 dport=49247
2025-10-17T17:45:34.721975Z | TCP | 10.2.0.2 -> 23.220.70.142 | sport=55472 dport=80
2025-10-17T17:45:34.971743Z | TCP | 23.220.70.142 -> 10.2.0.2 | sport=80 dport=55472
2025-10-17T17:45:34.971743Z | TCP | 10.2.0.2 -> 23.220.70.142 | sport=55472 dport=80
2025-10-17T17:45:34.971743Z | TCP | 10.2.0.2 -> 23.220.70.142 | sport=55472 dport=80
2025-10-17T17:45:35.299548Z | TCP | 23.220.70.142 -> 10.2.0.2 | sport=80 dport=55472
2025-10-17T17:45:35.305919Z | TCP | 23.220.70.142 -> 10.2.0.2 | sport=80 dport=55472
2025-10-17T17:45:35.305919Z | TCP | 23.220.70.142 -> 10.2.0.2 | sport=80 dport=55472
2025-10-17T17:45:35.305919Z | TCP | 10.2.0.2 -> 23.220.70.142 | sport=55472 dport=80
2025-10-17T17:45:35.305919Z | TCP | 10.2.0.2 -> 23.220.70.142 | sport=55472 dport=80
2025-10-17T17:45:35.419097Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=55471
2025-10-17T17:45:35.421119Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=55471
2025-10-17T17:45:35.423117Z | TCP | 104.18.39.21 -> 10.2.0.2 | sport=443 dport=55471
2025-10-17T17:45:35.425109Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=55471 dport=443
2025-10-17T17:45:35.427096Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=55471 dport=443
2025-10-17T17:45:35.428100Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=55471 dport=443
2025-10-17T17:45:35.428100Z | TCP | 10.2.0.2 -> 104.18.39.21 | sport=55471 dport=443
