00:03:14 | ICMP | 192.168.188.153:80 | Suspicious
00:03:15 | TCP | 192.168.52.20:2130 | Critical
00:03:15 | TCP | 192.168.114.154:443 | Suspicious
00:03:15 | ICMP | 192.168.225.40:80 | Suspicious
00:03:16 | UDP | 192.168.166.130:22 | Suspicious
00:03:16 | UDP | 192.168.27.187:5444 | Critical
00:03:16 | TCP | 192.168.41.239:80 | Safe
00:03:16 | TCP | 192.168.128.153:443 | Safe
00:03:17 | ICMP | 192.168.1.81:2990 | Critical
00:03:17 | ICMP | 192.168.152.98:9024 | Safe
00:03:17 | UDP | 192.168.18.173:80 | Safe
00:03:18 | ICMP | 192.168.100.230:9330 | Suspicious
00:03:18 | UDP | 192.168.83.244:3389 | Critical
00:03:18 | ICMP | 192.168.114.56:80 | Safe
00:03:19 | ICMP | 192.168.207.166:8016 | Critical
00:03:19 | TCP | 192.168.105.164:21 | Safe
00:03:19 | UDP | 192.168.214.188:3389 | Suspicious
00:03:20 | UDP | 192.168.55.53:4869 | Safe
00:03:20 | ICMP | 192.168.163.215:443 | Critical
00:03:20 | ICMP | 192.168.105.37:80 | Critical
00:03:20 | ICMP | 192.168.231.222:80 | Safe
00:03:21 | ICMP | 192.168.20.1:443 | Suspicious
00:03:21 | ICMP | 192.168.33.197:3389 | Suspicious
00:03:21 | TCP | 192.168.253.80:443 | Suspicious
00:03:22 | TCP | 192.168.168.90:80 | Safe
00:03:22 | ICMP | 192.168.163.76:21 | Suspicious
00:03:22 | TCP | 192.168.18.106:80 | Suspicious
00:03:23 | ICMP | 192.168.224.9:80 | Critical
00:03:23 | TCP | 192.168.255.90:1415 | Suspicious
00:03:23 | TCP | 192.168.67.127:443 | Critical
00:03:23 | ICMP | 192.168.215.43:22 | Suspicious
00:03:24 | ICMP | 192.168.140.249:21 | Safe
00:03:24 | TCP | 192.168.156.244:3389 | Suspicious
00:03:24 | TCP | 192.168.248.178:21 | Safe
00:03:25 | ICMP | 192.168.94.141:443 | Safe
00:03:25 | ICMP | 192.168.124.172:22 | Safe
00:03:25 | UDP | 192.168.144.78:80 | Suspicious
00:03:26 | ICMP | 192.168.12.6:22 | Safe
00:03:26 | TCP | 192.168.38.126:22 | Suspicious
00:03:26 | ICMP | 192.168.96.44:22 | Critical
00:03:27 | ICMP | 192.168.194.139:443 | Suspicious
00:03:27 | TCP | 192.168.153.72:21 | Suspicious
00:03:27 | ICMP | 192.168.60.67:3389 | Critical
00:03:27 | ICMP | 192.168.44.21:21 | Critical
00:03:28 | TCP | 192.168.177.20:22 | Suspicious
00:03:28 | ICMP | 192.168.115.54:3389 | Safe
00:03:28 | ICMP | 192.168.185.138:22 | Critical
00:03:29 | TCP | 192.168.159.33:7300 | Safe
00:03:29 | TCP | 192.168.195.103:3525 | Critical
00:03:29 | TCP | 192.168.48.246:443 | Critical
00:03:30 | UDP | 192.168.105.18:443 | Safe
00:03:30 | ICMP | 192.168.216.196:21 | Suspicious
00:03:30 | ICMP | 192.168.4.36:22 | Critical
00:03:30 | TCP | 192.168.135.161:5748 | Suspicious
00:03:31 | TCP | 192.168.115.144:3389 | Safe
00:03:31 | ICMP | 192.168.11.242:21 | Safe
00:03:31 | ICMP | 192.168.121.244:21 | Critical
00:03:32 | UDP | 192.168.100.78:5522 | Critical
00:03:32 | ICMP | 192.168.245.216:80 | Suspicious
00:03:32 | ICMP | 192.168.115.50:443 | Safe
00:03:33 | TCP | 192.168.89.139:22 | Suspicious
00:03:33 | TCP | 192.168.107.54:5007 | Suspicious
00:03:33 | UDP | 192.168.44.209:80 | Safe
00:03:34 | UDP | 192.168.233.150:3014 | Safe
00:03:34 | TCP | 192.168.147.242:21 | Safe
00:03:34 | ICMP | 192.168.144.51:21 | Suspicious
00:03:34 | TCP | 192.168.57.4:80 | Suspicious
00:03:35 | ICMP | 192.168.101.73:4750 | Suspicious
00:03:35 | TCP | 192.168.171.78:443 | Critical
00:03:35 | TCP | 192.168.213.83:8883 | Suspicious
00:03:36 | TCP | 192.168.248.201:21 | Safe
00:03:36 | UDP | 192.168.146.183:21 | Critical
